epoch,train_loss,validation_loss,validation_mae,learning_rate
1,-1.6496109281449693,-1.4955804872770415,228.5922528678563,0.0001
2,-1.7740927730154732,-1.535520891137596,224.34676418048883,0.0001
3,-1.8278626759890186,-1.4617287177851743,218.22072791710076,0.0001
4,-1.8738855013115483,-1.5339055836602662,202.53697181964242,0.0001
5,-1.910020770026815,-1.4770048107819718,202.81873933569727,0.0001
6,-1.9355457655838186,-1.4569166695008795,203.45014394577228,0.0001
7,-1.9625882279166438,-1.354429620752647,175.0947912220642,0.0001
8,-1.9819328578121629,-1.4225099568669934,158.03380351902842,0.0001
9,-2.015812289529465,-1.3634808906423186,143.74448938342962,0.0001
10,-2.034837281776963,-1.2886766528112172,143.05404304645563,0.0001
11,-2.0487032571148673,-1.260696762200646,144.15756834479023,0.0001
12,-2.0601943817636057,-1.2366450225488022,140.89680693170962,0.0001
13,-2.0677039177009124,-1.1235975689807014,134.15208217917868,0.0001
14,-2.0801788243976422,-1.1868773591067523,142.9709722700437,0.0001
15,-2.085384598921711,-1.074837316976288,158.48810125869147,0.0001
16,-2.0929417048836427,-1.0177432715316086,137.45350032374265,5e-05
17,-2.119706855310257,-0.9139659589227869,143.79217492725533,5e-05
18,-2.1239821096405604,-0.848627013902153,145.73705497432283,5e-05
