funcName,invocations,pods,users,avg_cpu,avg_memory,avg_runtime,category
88,194207037,370,4,0.01479848514267363,221.77508613700385,0.00018945067312301617,Hot
9,191950992,121,12,0.0613054405872279,173.421829767265,0.00026580285887521063,Hot
1197,101113194,101,2,0.21609042667937337,320.6673021199792,0.011016316276470862,Hot
6361,58028371,11824,1,0.12979018456867314,44.699068389852584,0.127160868244231,Hot
101,41393131,1122,4,0.19487545303420287,324.5959257304293,0.010880097564013856,Hot
1206,41362976,94,3,0.4566844374928829,54.6570006850143,0.025206210428841618,Hot
1529,40719561,272,1,0.16562734385194275,123.79642598896423,0.003284383836516937,Hot
1118,39786323,126,5,0.33072298119865834,366.81987912949853,0.004065716161600221,Hot
1014,24520529,100,1,0.4914539183759249,293.91522758419086,0.06257423262618082,Hot
405,22596435,196,3,0.4968177968446364,296.34314268920093,0.06572880049277885,Hot
887,18689368,100,1,0.18250777525770107,200.4091478593148,0.04195877398374022,Hot
790,14711905,57,1,0.2115144073618327,190.17106890188091,0.020686124780101543,Hot
1412,14322963,198,3,0.1635606621069202,46.22095080403031,0.19320881951996652,Hot
413,12401375,102,2,0.8277895817285092,518.8015904835064,0.048762919507473364,Hot
1538,12128570,102,2,0.6254030492243365,518.7879883945701,0.28785076955206057,Hot
2119,10395183,102,2,0.6491273333855778,560.9508862456431,0.3305377091786766,Hot
817,9693180,100,1,0.5010520437479962,303.2761045886171,0.09910898960814943,Hot
457,9062000,103,3,0.41694540799560736,304.62004072615173,0.0759132970965522,Hot
2028,7553662,101,2,1.3255733808721977,713.8277382329751,0.8436299682128603,Hot
1111,6009652,111,1,0.37625686787717033,189.44461336821536,0.0026547359649121954,Hot
7504,5328674,130,1,0.046177465115065625,57.112411750504165,0.0,Hot
1578,4764965,803,2,0.2521012001276141,60.72862931742346,0.027009679649695407,Hot
1179,4652790,283,2,0.366169339264751,53.62900454645072,0.07865812417667208,Hot
1542,4652587,226,2,0.28340667112355655,61.770559690632204,0.020608533968091987,Hot
1363,4551601,1264,3,0.2274340084661651,55.42235202052197,0.0032812631722333413,Hot
510,4073174,33,5,0.16862196523448073,338.48137628032833,0.008933658163142654,Hot
614,3296560,103,3,1.056497091868928,674.9849344942331,0.15279211319588257,Hot
1797,3231852,102,2,0.9959419181871315,2142.2414884950595,1.686915814195084,Hot
296,2828353,334,2,0.24203519960635728,32.38110817315873,0.027825098813339052,Hot
77,2452237,880,3,0.08108178622231413,68.72102166306242,0.0011026713445724168,Hot
1411,2377035,37,1,0.006699919948591939,191.7985053931153,0.0001842707818774127,Hot
682,2242407,102,2,0.09611003507525503,40.02940950782425,0.3234204670022008,Hot
203,2109369,102,2,0.46105741002640555,635.6654542370543,0.2104014389127698,Hot
137,1859180,305,4,0.293949376364315,150.85530807057856,0.11139934582289096,Hot
612,1671777,4678,2,0.1058897993596061,51.413832972438435,0.7297886387795892,Hot
1413,1654158,25,2,0.15613527911919847,38.384369457541624,0.001899907919920847,Hot
944,1550696,7,2,1.8810779159809533e-07,20881.07141947518,6.432730851179083e-07,Hot
2278,1259356,100,1,0.27593441881875413,64.70287724940343,0.07307799746219357,Hot
508,1177380,104,4,0.5308005177478924,509.1328645963843,0.7622775372989042,Hot
593,1119159,5278,1,0.0,15.182507831413693,0.0,Hot
49,1088991,1145,4,0.13851305725575222,37.62238563798596,0.1914822785018445,Hot
4977,941274,27840,1,0.10343376532019204,42.05054095716897,0.0985316764225956,Hot
899,829793,33,2,1.3561360483879712e-05,7333.9314224405125,7.489554623864026e-07,Hot
1465,814945,26,3,0.14881209233016854,35.764586610920716,0.13373314847259463,Hot
482,798307,149,3,0.2545718013971995,478.25117874081565,4.751332348200555,Hot
4005,784328,779,1,0.060404420364903864,35.51451620485146,0.0006717172305464197,Hot
1568,755725,170,2,0.10376461775512595,39.74502639304707,0.0015557470349664222,Hot
2704,730919,294,1,0.24620785364510953,56.26241282467388,0.15142638941250464,Hot
848,675830,93,1,0.19476730518534346,37.08035745632088,0.0020139408401521532,Hot
886,670065,1,1,0.07070442994783767,205.23119857781066,0.0008652740659488673,Hot
1358,656182,102,2,1.3044937327997108,668.0680152851212,1.5113998974613794,Hot
860,634498,49,2,0.2804762954237561,66.4458012661001,0.003126648392902663,Hot
8,608577,374,6,0.33160363346599825,37.39920139446092,0.005685970930547809,Hot
438,600679,6,2,0.0976689941581988,28.00341692574026,0.004817393424774368,Hot
1054,583096,376,1,0.19919094806172757,43.24833665638901,0.1793324069587175,Hot
564,499806,1293,1,0.369961485698089,61.06911696958371,0.24536515930581138,Hot
1495,425095,1,1,0.13140229964113023,50.7231584798794,0.001297547797551124,Hot
1249,417825,378,2,1.6311374379225753e-07,60.21208482906603,3.7854676000718007e-06,Hot
2134,417406,130,2,0.1739093220294241,54.383675262061786,0.20642456301538362,Hot
245,407519,1169,3,4.932334443302031e-07,1172.0440906175438,9.618042348945694e-06,Hot
2006,392811,388,2,0.10822197560404329,352.438687959433,2.3894482207855416,Hot
1119,371517,2620,1,0.3613234702638099,101.73685558277496,0.7161359296371341,Hot
802,354014,345,2,0.19354313329128597,60.53697334323205,0.12350664286440576,Hot
687,353471,54,1,0.13108019530315093,50.15011695484254,0.11679554431622267,Hot
1265,264184,25,3,0.5632354062623014,471.08107936176225,0.186277987720679,Hot
1332,235768,150,3,0.1510256946701837,417.8333132646291,0.3040409353856331,Hot
426,229286,5,3,0.14771145821802634,49.3679569603946,0.0014478905907905465,Hot
415,179240,712,2,0.28685861837168136,33.99506887630847,0.016841388997991445,Hot
206,160097,2,2,0.03302074379282521,43.28341474379227,0.3014413271079429,Hot
1437,149524,60,2,0.632081196135739,372.5092014028523,0.05171974826783682,Hot
1361,145271,54,3,0.23791500265708884,47.24696311915686,0.01858620603561622,Hot
610,138879,11,1,0.5748742133151565,335.7984788298475,0.05300126585732894,Hot
1507,134010,100,1,0.13833305524214656,468.7191446920112,3.669731880822296,Hot
1200,132698,100,1,0.1013274587258288,378.43446959719444,3.3779173775716145,Hot
1233,125009,101,2,0.162252568263085,559.7052239421246,2.061371791894976,Hot
1008,117105,103,3,0.1986911452286341,43.38235148401986,0.06261149112335065,Hot
1613,104340,549,2,0.053260126509487596,46.105128620333545,0.00011041779758481887,Hot
211,103181,5,3,0.04805837342146173,158.03001030026041,0.0006057884300404099,Hot
19,102142,53,4,0.29168441661586864,54.72197617353314,0.03172113298153584,Hot
57,100898,149,4,0.29803419351200594,37.381852408177494,0.034910662887272396,Hot
925,100602,4,3,0.2713179376751059,54.98670325052171,0.039247256177809754,Hot
84,87258,102,3,0.7215613261248274,337.03782861519005,0.0640855178092555,Hot
329,86581,104,4,0.048734426548549356,26.8534471324784,0.002110000404245687,Hot
411,86397,3,3,0.033040137689965526,35.6920601220064,0.0009285838975890344,Hot
2111,86392,2,2,0.04559464349708206,26.696157302273445,0.0007743208283174359,Hot
1835,83068,46,3,0.37927100774064576,38.7226009016346,0.11944743711176448,Hot
1688,75545,2,2,0.04658249640611481,44.09951163373944,0.0007783192401879625,Hot
1268,67221,779,2,5.701581351065887e-06,2177.8300670164513,3.518949435444281e-05,Hot
351,63054,55,4,0.14882535377612902,456.2917921843424,2.24934270449139,Hot
259,56384,1180,4,0.3931613035434395,80.66751996522059,0.9985329927461651,Hot
324,51596,12,2,4.1536165594232115e-06,6751.775536676275,3.894972478486705e-05,Hot
2662,50941,72,1,0.29918324811068026,37.533999518398666,0.1713696265679907,Hot
1625,49749,223,1,0.26788137144463897,59.995425159098794,0.3132666145249154,Hot
1587,48687,14,2,0.07929712547497425,31.70417271961738,0.0009242894407131295,Hot
745,48438,10,1,0.21984495169080714,43.9273890542962,0.0010507667327305042,Hot
1583,48390,5,3,0.09940701349452759,49.920417756685204,0.05569827580078458,Hot
540,45530,5,2,0.06650845179002844,117.51179025034293,0.1667235693828243,Hot
431,44070,288,3,0.2959587136601906,34.13739878075809,0.06345049033356,Hot
1397,39278,410,2,0.36610144017003265,96.59713859689867,0.9948408305158094,Hot
495,37054,150,5,0.3877156349381976,516.0248137067321,0.008758816160198635,Hot
1503,34653,15,3,0.2066393460883927,36.47125077788366,0.005906827720543685,Hot
286,34580,25,2,0.038238879034123714,27.248365650346972,0.07674305326778612,Hot
1999,34561,2,2,0.06517507867249035,37.305828151876305,0.0011544186800150464,Hot
1133,34561,2,2,0.03774674228176254,26.617531280432992,0.0006384125169989263,Hot
3876,34556,1,1,0.05655823553073132,43.24428282567446,0.0008231525639541568,Hot
4378,33946,188,1,0.1316421720674014,43.18500178568916,0.12740161097036448,Hot
26,32973,387,4,0.11091832796529845,76.23315122460785,0.00037157231674400263,Hot
116,30673,336,4,0.4786718534867798,667.3175217710486,0.04355655364652935,Hot
6242,28935,45,1,0.39943045916703857,77.77847798448137,0.03382788090547775,Hot
1145,28147,178,3,0.07533962326358044,72.42358241485768,1.049923615305361e-05,Hot
1852,27955,13,1,0.12199007451260939,180.7895041831505,0.04886654541226985,Hot
127,27638,607,4,0.11840027646718025,173.4700359576678,0.5152517391634731,Hot
1311,25889,7,3,0.11258972181234739,49.118727737533945,0.001235758352968445,Hot
408,24804,102,2,0.3924704480728901,89.43510935433784,0.7101964086437665,Hot
1107,23123,92,2,0.1337775075465987,50.075278814557215,0.1216374515850015,Hot
1534,22956,69,1,0.2993672318348683,69.28362449734274,0.06089872734797001,Hot
6377,21364,199,1,0.06664242562254194,37.04597083172612,0.000796970838794232,Hot
1186,19352,102,2,0.22741830647993835,41.97017710898114,0.00769007813145927,Hot
205,18990,253,4,0.21389462353870448,37.58783937809359,0.11425983607161691,Hot
444,18684,291,4,0.09303737144080276,26.893290216763006,0.0021901476664525805,Hot
523,18571,223,4,0.08447082838834642,26.637120299122344,0.029460442679446416,Hot
1899,17728,49,2,0.26102951365071825,38.44645497010375,0.003990483585288802,Hot
4079,17593,1,1,0.2997095119650015,114.61393092309375,0.06529774637639976,Hot
2097,17570,32,3,0.21639798776321545,38.12819170182131,0.004011883323847466,Hot
630,17340,16,2,0.22189788656284348,51.103766121107206,0.0023277246251441723,Hot
5332,17303,1,1,0.6000000000000262,253.8111867132879,0.026153714673756025,Hot
2821,17303,1,1,0.5999720291857163,284.7466017650147,0.027398949372941142,Hot
1430,17238,47,2,0.2981940386935944,53.461370111091846,0.023132779730827214,Hot
1393,17190,22,1,0.2987784991274104,57.76812897358937,0.02349169144851651,Hot
291,15775,18,2,0.0006732912202852615,6380.166064218701,0.0003858356259904913,Hot
1829,14652,185,2,0.057776091591591916,36.818411899809,0.0008154209664209668,Hot
477,14123,227,3,0.2481114448063383,21.61594728896129,0.26584646109183574,Hot
2099,13548,205,4,0.06619407403306772,49.02036248162087,0.6939420590493056,Hot
1571,13392,223,3,0.279455107377528,28.768990466323203,0.12703173820191183,Hot
