minute,requests,active_functions,active_pods,avg_cpu,avg_memory
43200,534204,599,2098,0.24486545083905167,237.99309159098812
43201,672850,489,1969,0.20674291771422848,217.6854234268438
43202,467581,516,1907,0.2520878702043252,259.3209026968192
43203,669294,527,1875,0.19800342191773676,250.936833653837
43204,528557,541,1896,0.23364544865362377,328.0210227194226
43205,720714,512,1845,0.18949866989681133,294.6373560796618
43206,529414,531,1889,0.2301262310743694,251.28825307563312
43207,720854,517,1879,0.1911164617564922,228.34148371969036
43208,553928,489,1908,0.22671040519165575,299.76113786318746
43209,696742,498,1878,0.2004043065984441,306.6596903091507
43210,520744,500,1919,0.2413568645169205,313.9333648103707
43211,659128,492,1873,0.21247185125046442,236.59200640568392
43212,572948,495,1909,0.22525568540599641,246.0204996407271
43213,744110,479,1900,0.19508721226567838,232.1266978695475
43214,501009,482,1901,0.25231379077624766,252.36214968462906
43215,751755,504,2001,0.2034295940698771,253.24940882931114
43216,563723,493,2039,0.2418984604531235,257.7054190057415
43217,670764,487,1922,0.21122708153089303,263.132113696724
43218,579192,480,1962,0.2249904761667901,269.2912373350652
43219,753257,477,1874,0.19440154891624847,251.80785481157682
43220,559557,501,1934,0.2315569401705435,304.18297949286193
43221,726241,494,1907,0.20137433893018744,280.15960046035315
43222,513652,501,1898,0.2483676870196263,336.83184246254825
43223,722787,505,1889,0.2069218384060585,295.20768950717826
43224,506799,522,1951,0.2582012955590075,340.0038246911417
43225,700390,513,1961,0.21237656679989356,269.0957177649144
43226,516485,492,1926,0.2572516806644863,319.20771832802933
43227,698323,497,1934,0.21396357164236074,277.22315941960915
43228,544046,483,1905,0.2517648792326082,312.10363115577815
43229,717486,475,1884,0.21411036100772937,271.06794125276036
43230,589152,546,2140,0.25015651152166496,303.48182139531843
43231,771565,498,2114,0.2098540273003451,265.0416254111536
43232,598156,513,2119,0.23573619910023477,292.5979705883305
43233,803324,540,2123,0.19374675745156147,265.415511266062
43234,586434,531,2045,0.24655872164134934,290.05300394581315
43235,797384,535,2093,0.20044755693743502,258.82023786939504
43236,603882,547,2077,0.23839147093468016,284.8405415129507
43237,759958,508,2046,0.21143921674749327,264.8243257063687
43238,553956,490,2013,0.25954319169210893,307.2026006996471
43239,718248,519,2027,0.21955840618418132,279.607790261957
43240,617185,527,2032,0.23808829770325352,296.80979887779654
43241,737948,511,2014,0.2151953849309337,291.94856328266957
43242,542226,533,2035,0.26596720515251476,319.3747926639331
43243,770619,501,2012,0.2095479693246911,268.90850032862176
43244,623334,507,2006,0.24113041999313253,299.4463662346355
